package,version,build
monotonic,1.5,pyhd8ed1ab_1
movingpandas,0.18.1,pyhd8ed1ab_0
mpg123,1.32.6,h63175ca_0
mpir,3.0.0,he025d50_1002
mpl_animators,1.1.1,pyhd8ed1ab_0
mplleaflet,0.0.5,py_4
mpmath,1.3.0,pyhd8ed1ab_0
msgpack-python,1.0.8,py310hc19bc0b_0
msys2-conda-epoch,20160418,1
multidict,6.0.5,py310h8d17308_0
multipledispatch,0.6.0,py_0
multiprocess,0.70.16,py310h8d17308_0
munch,4.0.0,pyhd8ed1ab_0
munkres,1.1.4,pyh9f0ad1d_0
muparser,2.3.4,h63175ca_0
murmurhash,1.0.10,py310h00ffb61_1
mypy_extensions,1.0.0,pyha770c72_0
nbclient,0.10.0,pyhd8ed1ab_0
nbconvert-core,7.16.4,pyhd8ed1ab_1
nbformat,5.10.4,pyhd8ed1ab_0
nest-asyncio,1.6.0,pyhd8ed1ab_0
netcdf4,1.6.2,nompi_py310h459bb5f_100
networkx,3.3,pyhd8ed1ab_1
nlohmann_json,3.11.3,h1537add_0
nltk,3.8.1,pyhd8ed1ab_0
nodejs,20.12.2,h57928b3_0
nose,1.3.7,py_1006
notebook-shim,0.2.4,pyhd8ed1ab_0
numba,0.59.1,py310h9ccaf4f_0
numcodecs,0.12.1,py310h9e98ed7_1
numexpr,2.8.0,mkl_py310h2d20eae_0
numpy,1.26.4,py310hf667824_0
oauthlib,3.2.2,pyhd8ed1ab_0
obspy,1.4.1,py310ha8f682b_2
odc-geo,0.4.6,pyhd8ed1ab_0
opencv,4.6.0,py310h5588dad_4
openh264,2.3.1,h63175ca_2
openjpeg,2.5.0,hc9384bd_1
openpyxl,3.1.4,py310h8d17308_0
openssl,3.1.6,h2466b09_0
optuna,3.6.1,pyhd8ed1ab_0
orc,1.9.0,hada7b9e_1
orca,1.8,pyhd8ed1ab_0
orderedmultidict,1.0.1,pyhd8ed1ab_1
osmnet,0.1.7,pyhd8ed1ab_0
osmnx,1.2.3,pyhd8ed1ab_0
outdated,0.2.2,pyhd8ed1ab_0
overrides,7.7.0,pyhd8ed1ab_0
packaging,24.1,pyhd8ed1ab_0
pandana,0.7,py310hecd3228_2
pandas-flavor,0.6.0,pyhd8ed1ab_1
pandas,2.1.4,py310hecd3228_0
pandoc,3.2,h57928b3_0
pandocfilters,1.5.0,pyhd8ed1ab_0
panel,1.4.4,pyhd8ed1ab_0
pango,1.50.14,hdffb7b3_0
param,2.1.0,pyhca7485f_0
parfive,2.1.0,pyhd8ed1ab_0
parsedatetime,2.4,py_1
parso,0.8.4,pyhd8ed1ab_0
partd,1.4.2,pyhd8ed1ab_0
passlib,1.7.4,pyhd8ed1ab_1
pathos,0.3.2,pyhd8ed1ab_1
pathspec,0.12.1,pyhd8ed1ab_0
patsy,0.5.6,pyhd8ed1ab_0
pcre,8.45,h0e60522_0
pcre2,10.43,h17e33f8_0
pendulum,3.0.0,py310h32a15e0_0
phonenumbers,8.13.39,pyhd8ed1ab_0
pickleshare,0.7.5,py_1003
pillow,9.2.0,py310hd4fb230_3
pingouin,0.5.4,pyhd8ed1ab_0
pint,0.24,pyhd8ed1ab_2
pip,24.0,pyhd8ed1ab_0
pixman,0.43.4,h63175ca_0
pkgutil-resolve-name,1.3.10,pyhd8ed1ab_1
platformdirs,4.2.2,pyhd8ed1ab_0
ploomber-core,0.2.25,pyhd8ed1ab_0
plotly,5.22.0,pyhd8ed1ab_0
plotnine,0.13.6,pyhd8ed1ab_0
pluggy,1.5.0,pyhd8ed1ab_0
ply,3.11,pyhd8ed1ab_2
pointpats,2.3.0,pyhd8ed1ab_0
polars,0.20.31,py310h9263643_0
pomegranate,1.0.0,pyhd8ed1ab_1
pooch,1.8.2,pyhd8ed1ab_0
poppler-data,0.4.12,hd8ed1ab_0
poppler,22.10.0,ha6c1112_0
postgresql,14.5,h96452e4_6
posthog,3.5.0,pyhd8ed1ab_1
powerlaw,1.4.6,pyh9f0ad1d_1
powershell-shortcut,1.0,0
pox,0.3.4,pyhd8ed1ab_0
ppft,1.7.6.8,pyhd8ed1ab_0
preshed,3.0.9,py310h00ffb61_1
prettytable,3.10.0,pyhd8ed1ab_0
progressbar2,4.4.2,pyhd8ed1ab_0
proj,9.0.1,h1cfcee9_1
prometheus_client,0.20.0,pyhd8ed1ab_0
prompt-toolkit,3.0.47,pyha770c72_0
proto-plus,1.23.0,pyhd8ed1ab_0
protobuf,4.21.12,py310h00ffb61_0
pscript,0.7.7,pyhd8ed1ab_0
pseudonetcdf,3.4.0,pyhd8ed1ab_0
psutil,5.9.8,py310h8d17308_0
psycopg2,2.9.3,py310h03188d8_1
pthread-stubs,0.4,hcd874cb_1001
pthreads-win32,2.9.1,hfa6e2cd_3
pugixml,1.11.4,h63175ca_1
pulp,2.8.0,py310h5588dad_0
pure_eval,0.2.2,pyhd8ed1ab_0
py-opencv,4.6.0,py310hbbfc1a7_4
py-xgboost,2.0.3,cpu_pyh995e691_4
py,1.11.0,pyh6c4a22f_0
py4j,0.10.9.7,pyhd8ed1ab_0
pyamg,5.1.0,py310h3e8ed56_1
pyarrow-hotfix,0.6,pyhd8ed1ab_0
pyarrow,12.0.1,py310hd1a9178_5_cpu
pyasn1-modules,0.4.0,pyhd8ed1ab_0
pyasn1,0.6.0,pyhd8ed1ab_0
pybind11-abi,4,hd8ed1ab_3
pycosat,0.6.6,py310h8d17308_0
pycountry,24.6.1,pyhd8ed1ab_0
pycparser,2.22,pyhd8ed1ab_0
pycrs,1.0.2,py_0
pyct,0.5.0,pyhd8ed1ab_0
pycurl,7.45.1,py310hb6188b9_3
pydantic-core,2.18.4,py310hc226416_0
pydantic,2.7.4,pyhd8ed1ab_0
pydot,2.0.0,py310h5588dad_0
pyee,8.1.0,pyhd8ed1ab_0
pyerfa,2.0.1.4,py310hb0944cc_1
pygeos,0.13,py310h3734685_1
pygments,2.18.0,pyhd8ed1ab_0
pygmt,0.12.0,pyhd8ed1ab_0
pygraphviz,1.11,py310h7694aa6_1
pyjwt,2.8.0,pyhd8ed1ab_1
pykdtree,1.3.12,py310hb0944cc_1
pykrige,1.7.1,py310h3e78b6c_0
pymdown-extensions,10.8.1,pyhd8ed1ab_0
pymongo,4.7.3,py310h9e98ed7_0
pymongoarrow,1.3.0,py310hb668008_0
pymysql,1.1.0,pyhd8ed1ab_0
pynndescent,0.5.13,pyhff2d567_0
pyodbc,5.1.0,py310h00ffb61_0
pyopenssl,24.0.0,pyhd8ed1ab_0
pyorbital,1.8.2,pyhd8ed1ab_0
pyparsing,3.1.2,pyhd8ed1ab_0
pyperclip,1.9.0,pyh7428d3b_0
pyppeteer,1.0.2,pyhd8ed1ab_0
pyproj,3.4.0,py310h6377384_0
pyqt,5.15.9,py310h1fd54f2_5
pyqt5-sip,12.12.2,py310h00ffb61_5
pyqtgraph,0.13.7,pyhd8ed1ab_0
pyresample,1.28.3,py310hb4db72f_1
pyrobuf,0.9.3,py310h00ffb61_6
pyrosar,0.24.0,pyhd8ed1ab_0
pyrosm,0.6.1,py310h8a704f9_1
pysal,23.7,pyhd8ed1ab_0
pyshp,2.3.1,pyhd8ed1ab_0
pysimplegui,4.60.5,pyhd8ed1ab_0
pysocks,1.7.1,pyh0701188_6
pysoundfile,0.12.1,pyhd8ed1ab_0
pyspectral,0.13.1,pyhd8ed1ab_1
